A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
43.188137,9981.933523,42.83308815,10072.57699,42.90468453,11852.95017,43.38170562,11848.16347,42.79266615,12068.06052,42.49941379,8558.535093,42.78647874,10601.04428,42.78697785,10105.23821,42.88021913,10653.33997,43.10070554,10698.0522
44.14493843,10146.85448,44.5984538,10274.49218,43.39978144,12066.53548,43.87780551,12091.71965,43.05869779,12386.26972,42.87047172,8820.422142,43.09890811,11297.43714,43.17158861,10328.25941,43.32262531,11158.44862,43.13563235,11238.09711
43.39364562,10220.37301,43.13318166,10348.20349,43.17527515,12329.03745,43.26378087,12417.65446,43.32828511,12545.8307,43.8101761,8898.750707,43.13091321,11403.78089,43.84807198,10513.30842,43.47543435,11432.70463,43.65733275,11376.62673
44.02394448,10283.92912,43.48141741,10238.66061,43.68171754,12500.87704,43.50809401,12475.76359,44.04696444,12646.51892,43.50953981,9126.426681,45.08500922,11629.62383,44.32578755,10808.69214,44.59439441,11680.88552,44.59163986,11683.55848
44.44864298,10342.52629,44.8640064,10312.82568,44.30020092,12809.07103,44.015181,12800.57387,44.27062951,12834.66113,45.00377323,9295.467781,44.36829283,12130.37104,43.98402809,10938.84404,44.60648641,12055.73454,44.53577548,12149.53925
44.76471046,10369.91236,44.80333003,10321.09088,44.47119831,13003.2467,44.75625662,13019.39335,44.28766077,12912.2183,44.50361313,9131.891136,45.7025508,12404.31345,44.67992004,11053.87847,45.27479719,12349.09746,45.3609486,12340.93792
45.54666512,10581.34154,45.45923302,10649.66318,44.75349486,13046.93583,44.82598012,12954.84483,44.60114041,13106.61293,44.37658246,9162.587673,44.19984078,12413.91641,44.86986799,11213.93029,44.75676699,12556.89132,44.62417995,12562.20811
45.97282564,10516.08708,46.22641558,10471.99712,45.34871324,13257.93967,45.38035416,13220.37091,45.12303916,13083.02562,45.46847366,9189.136272,45.77643573,12782.98225,45.873436,11281.71545,45.46766317,12712.96582,45.55302129,12756.83209
45.58969185,10632.41053,45.41378921,10742.81156,45.56101338,13339.67352,45.79730066,13385.30622,45.58317967,13266.72281,45.58457109,9198.40395,45.33930037,13006.81514,45.45450387,11326.78043,45.5214978,12956.00869,45.62209457,13006.22937
46.42241265,10644.14509,46.48064028,10583.75456,46.53106824,13493.91619,46.25564074,13528.42318,46.24949912,13171.82854,46.03606788,9248.532494,46.71034843,13041.39582,46.14048817,11404.50518,46.70524193,12965.27484,46.37418387,13105.72819
47.21410878,10713.57964,47.21821901,10706.86261,45.93776362,13521.70136,45.69455428,13477.50234,46.102234,13497.07295,45.82859733,9410.243054,46.92661874,13095.45416,46.44890053,11432.83776,46.17555725,13120.40514,46.28323953,13167.7465
47.11347452,10636.93986,46.53435018,10624.36228,46.48914932,13545.85522,46.73938769,13518.52673,46.83443457,13517.24364,46.76654991,9498.224289,45.20206203,13427.37538,46.85096825,11620.43196,46.21289932,13323.88247,45.57456034,13397.58629
47.49104755,10562.05464,47.88366961,10522.97979,47.23035768,13626.95564,47.37545164,13612.66501,47.12052855,13577.32585,46.92837848,9495.891415,47.25165327,13221.64214,47.49235673,11726.48141,47.39309901,13239.10813,47.02620829,13263.01357
47.64391296,10599.60054,47.71110441,10612.6191,46.83421409,13478.24502,46.76829758,13487.32021,46.79366228,13765.87688,46.42111911,9538.135664,47.38769544,13425.83902,48.06512876,11836.85646,47.70851717,13308.71118,48.03272314,13367.26141
48.60038531,10538.37573,49.26067786,10523.65629,47.51882437,13630.10845,47.57232163,13593.13429,47.42773293,13799.38588,47.73323804,9648.986911,48.02212012,13359.69237,48.39924518,11801.98454,47.45015824,13351.66902,47.55375797,13289.26042
47.94524572,10679.35835,47.49169876,10692.22847,47.92609232,13533.95194,47.44235834,13614.07551,47.86864838,13871.21827,47.96928971,9728.081708,48.49098485,13285.4618,47.78362335,11976.81193,47.78304961,13295.49417,47.99677391,13258.9769
48.77331527,10725.73791,49.10551927,10890.33824,47.75630662,13642.0377,47.42448822,13629.20191,47.57332856,14074.16646,47.54206672,9644.559234,48.04933965,13591.67399,48.37269977,12070.91061,48.79615824,13504.78407,48.45047883,13499.91329
49.11057389,10700.39536,49.01148501,10635.25485,48.12327918,13623.67292,48.44546695,13613.64831,48.29266688,14151.9606,48.08726168,9652.188845,48.24482032,13412.54939,48.524491,12014.89031,48.20429499,13556.09598,48.17579983,13534.54177
50.31560943,10668.59444,50.31085626,10779.67916,48.44669737,13593.38689,47.89002106,13531.44388,48.74069538,14117.84018,48.03664598,9896.597803,50.47990568,13424.31933,48.71808287,12000.88741,50.08362167,13527.31617,50.38046795,13509.61575
